Team_Rank,Team_Name,Player_Rank,Player_Name,Damage,Assist,Finishes,Play_Time
1,NXT,1,NXTxPREDATOR,736,0,3,23 Mins
1,Nxt,17,NXTxAMIT,"1,287",0,3,18 Mins
1,nxt,5,NXTxPRINCE247,297,0,1,23 Mins
1, NXT ,1,NXTxSWAG,727,3,2,23 Mins
2,XBUG,10,XBUGxBIKKU,596,2,2,23m
2,XBUG,3,XBUGxTRIGGER,664,O,4,23 Mins
2,XBUG,13,XBUGxZERO,NA,0,0,21
2,XBUG,4,XBUGxVOID,823,0,3,23 Mins
2,XBUG,4,XBUGxVOID,823,0,3,23 Mins
3,AE,7,AExSELENO,461,1,2,23 Mins
3,AE,15,AExBHAIRAWA,285,1,3,20 Mins
3,AE,6,AExMINO,99999,1,-1,23 Mins
3,AE,47,AExDYNAMIC069,0,0,0,1 Min
4,SW,20,SWxNITROCANON,294,1,1,15 Mins
4,sw,16,SWxNEEL,,1,1,19 Mins
4,SW,8,SWxKILLERLIVE,768,NULL,3,23 Mins
4,SW,9,SWxLIZO,544,2,2,23 Mins
5,WDX,18,WDXxNAH,794,0,2,15 Mins
5,WDX,14,WDXxPEEKER,787,0,3,20 Mins
5,WDX,11,WDXxCATYYY,516,0,3,22 Mins
5,WDX,25,WDXxTERRORJOD,289,2,1,10 Mins
6,FALLEN,29,FALLENxCHAITANYA,17,0,0,7 Mins
6,FALLEN,28,FALLENxXYLO,0,0,0,10 Mins
6,FALLEN,30,FALLENxKNIGHT,94,0,0,7 Mins
6,FALLEN,12,FALLENxFERONICK,0,0,0,21 Mins
7,TRX,21,TRXxEGO,308,0,1,14 Mins
7,TRX,27,TRXxFURY,98,0,0,10 Mins
7,TRX,26,TRXxFLASH777,143,0,0,10 Mins
7,TRX,19,TRXxDYNA,262,1,1,15 Mins
8,RS,24,RSxSKELEI,103,0,0,12 Mins
8,RS,48,RSxHARIOMOP,118,0,0,1 Min
8,RS,23,RSxMACHINE,238,0,0,12 Mins
8,RS,22,RSxTOP,179,0,0,14 Mins
